entity	id
AE:17-HYDROXYPROGESTERONE_DECREASED	0
AE:17-HYDROXYPROGESTERONE_INCREASED	1
AE:17_KETOSTEROIDS_URINE_ABNORMAL	2
AE:22Q11.2_DELETION_SYNDROME	3
AE:3-HYDROXYACETYL-COENZYME_A_DEHYDROGENASE_DEFICIENCY	4
AE:5'NUCLEOTIDASE_INCREASED	5
AE:5-ALPHA-REDUCTASE_DEFICIENCY	6
AE:5-HYDROXYINDOLACETIC_ACID	7
AE:5-HYDROXYINDOLACETIC_ACID_INCREASED	8
AE:5-HYDROXYINDOLACETIC_ACID_IN_URINE	9
AE:5-HYDROXYINDOLACETIC_ACID_IN_URINE_INCREASED	10
AE:5Q_MINUS_SYNDROME	11
AE:ABASIA	12
AE:ABDOMINAL_ABSCESS	13
AE:ABDOMINAL_ADHESIONS	14
AE:ABDOMINAL_BRUIT	15
AE:ABDOMINAL_CAVITY_DRAINAGE	16
AE:ABDOMINAL_COMPARTMENT_SYNDROME	17
AE:ABDOMINAL_DISCOMFORT	18
AE:ABDOMINAL_DISTENSION	19
AE:ABDOMINAL_FAT_APRON	20
AE:ABDOMINAL_HERNIA	21
AE:ABDOMINAL_HERNIA_INFECTION	22
AE:ABDOMINAL_HERNIA_OBSTRUCTIVE	23
AE:ABDOMINAL_HERNIA_PERFORATION	24
AE:ABDOMINAL_HERNIA_REPAIR	25
AE:ABDOMINAL_INCARCERATED_HERNIA	26
AE:ABDOMINAL_INFECTION	27
AE:ABDOMINAL_INJURY	28
AE:ABDOMINAL_LYMPHADENOPATHY	29
AE:ABDOMINAL_MASS	30
AE:ABDOMINAL_MIGRAINE	31
AE:ABDOMINAL_NEOPLASM	32
AE:ABDOMINAL_OPERATION	33
AE:ABDOMINAL_PAIN	34
AE:ABDOMINAL_PAIN_LOWER	35
AE:ABDOMINAL_PAIN_UPPER	36
AE:ABDOMINAL_PANNICULECTOMY	37
AE:ABDOMINAL_REBOUND_TENDERNESS	38
AE:ABDOMINAL_RIGIDITY	39
AE:ABDOMINAL_SEPSIS	40
AE:ABDOMINAL_STRANGULATED_HERNIA	41
AE:ABDOMINAL_SYMPTOM	42
AE:ABDOMINAL_TENDERNESS	43
AE:ABDOMINAL_WALL_ABSCESS	44
AE:ABDOMINAL_WALL_ANOMALY	45
AE:ABDOMINAL_WALL_CYST	46
AE:ABDOMINAL_WALL_DISORDER	47
AE:ABDOMINAL_WALL_HAEMATOMA	48
AE:ABDOMINAL_WALL_HAEMORRHAGE	49
AE:ABDOMINAL_WALL_INFECTION	50
AE:ABDOMINAL_WALL_MASS	51
AE:ABDOMINAL_WALL_NEOPLASM	52
AE:ABDOMINAL_WALL_OEDEMA	53
AE:ABDOMINAL_WALL_OPERATION	54
AE:ABDOMINAL_WALL_WOUND	55
AE:ABDOMINAL_WOUND_DEHISCENCE	56
AE:ABDOMINOPLASTY	57
AE:ABERRANT_AORTIC_ARCH	58
AE:ABIOTROPHIA_DEFECTIVA_ENDOCARDITIS	59
AE:ABNORMAL_BEHAVIOUR	60
AE:ABNORMAL_CLOTTING_FACTOR	61
AE:ABNORMAL_CORD_INSERTION	62
AE:ABNORMAL_DNA_METHYLATION	63
AE:ABNORMAL_DREAMS	64
AE:ABNORMAL_FAECES	65
AE:ABNORMAL_LABOUR	66
AE:ABNORMAL_LABOUR_AFFECTING_FOETUS	67
AE:ABNORMAL_LOSS_OF_WEIGHT	68
AE:ABNORMAL_MENSTRUAL_CLOTS	69
AE:ABNORMAL_ORGAN_GROWTH	70
