id	name	category
AE:5-hydroxyindolacetic acid in urine increased	5-hydroxyindolacetic acid in urine increased	AdverseEvent
AE:5-hydroxyindolacetic acid increased	5-hydroxyindolacetic acid increased	AdverseEvent
AE:5q minus syndrome	5q minus syndrome	AdverseEvent
AE:ADAMTS13 activity abnormal	ADAMTS13 activity abnormal	AdverseEvent
AE:ADAMTS13 activity decreased	ADAMTS13 activity decreased	AdverseEvent
AE:ASTHENIA	ASTHENIA	AdverseEvent
AE:Abasia	Abasia	AdverseEvent
AE:Abdominal abscess	Abdominal abscess	AdverseEvent
AE:Abdominal adhesions	Abdominal adhesions	AdverseEvent
AE:Abdominal cavity drainage	Abdominal cavity drainage	AdverseEvent
AE:Abdominal compartment syndrome	Abdominal compartment syndrome	AdverseEvent
AE:Abdominal discomfort	Abdominal discomfort	AdverseEvent
AE:Abdominal distension	Abdominal distension	AdverseEvent
AE:Abdominal fat apron	Abdominal fat apron	AdverseEvent
AE:Abdominal hernia	Abdominal hernia	AdverseEvent
AE:Abdominal hernia obstructive	Abdominal hernia obstructive	AdverseEvent
AE:Abdominal hernia repair	Abdominal hernia repair	AdverseEvent
AE:Abdominal infection	Abdominal infection	AdverseEvent
AE:Abdominal injury	Abdominal injury	AdverseEvent
AE:Abdominal lymphadenopathy	Abdominal lymphadenopathy	AdverseEvent
AE:Abdominal mass	Abdominal mass	AdverseEvent
AE:Abdominal neoplasm	Abdominal neoplasm	AdverseEvent
AE:Abdominal operation	Abdominal operation	AdverseEvent
AE:Abdominal pain	Abdominal pain	AdverseEvent
AE:Abdominal pain lower	Abdominal pain lower	AdverseEvent
AE:Abdominal pain upper	Abdominal pain upper	AdverseEvent
AE:Abdominal rigidity	Abdominal rigidity	AdverseEvent
AE:Abdominal sepsis	Abdominal sepsis	AdverseEvent
AE:Abdominal symptom	Abdominal symptom	AdverseEvent
AE:Abdominal tenderness	Abdominal tenderness	AdverseEvent
AE:Abdominal wall abscess	Abdominal wall abscess	AdverseEvent
AE:Abdominal wall cyst	Abdominal wall cyst	AdverseEvent
AE:Abdominal wall haematoma	Abdominal wall haematoma	AdverseEvent
AE:Abdominal wall haemorrhage	Abdominal wall haemorrhage	AdverseEvent
AE:Abdominal wall infection	Abdominal wall infection	AdverseEvent
AE:Abdominal wall wound	Abdominal wall wound	AdverseEvent
AE:Abdominal wound dehiscence	Abdominal wound dehiscence	AdverseEvent
AE:Abdominoplasty	Abdominoplasty	AdverseEvent
AE:Abnormal behaviour	Abnormal behaviour	AdverseEvent
AE:Abnormal clotting factor	Abnormal clotting factor	AdverseEvent
AE:Abnormal dreams	Abnormal dreams	AdverseEvent
AE:Abnormal faeces	Abnormal faeces	AdverseEvent
AE:Abnormal labour	Abnormal labour	AdverseEvent
AE:Abnormal loss of weight	Abnormal loss of weight	AdverseEvent
AE:Abnormal menstrual clots	Abnormal menstrual clots	AdverseEvent
AE:Abnormal sensation in eye	Abnormal sensation in eye	AdverseEvent
AE:Abnormal sleep-related event	Abnormal sleep-related event	AdverseEvent
AE:Abnormal uterine bleeding	Abnormal uterine bleeding	AdverseEvent
AE:Abnormal weight gain	Abnormal weight gain	AdverseEvent
AE:Abnormal withdrawal bleeding	Abnormal withdrawal bleeding	AdverseEvent
AE:Abortion	Abortion	AdverseEvent
AE:Abortion incomplete	Abortion incomplete	AdverseEvent
AE:Abortion induced	Abortion induced	AdverseEvent
AE:Abortion induced incomplete	Abortion induced incomplete	AdverseEvent
AE:Abortion late	Abortion late	AdverseEvent
AE:Abortion missed	Abortion missed	AdverseEvent
AE:Abortion of ectopic pregnancy	Abortion of ectopic pregnancy	AdverseEvent
AE:Abortion spontaneous	Abortion spontaneous	AdverseEvent
AE:Abortion spontaneous incomplete	Abortion spontaneous incomplete	AdverseEvent
AE:Abortion threatened	Abortion threatened	AdverseEvent
AE:Abscess	Abscess	AdverseEvent
AE:Abscess bacterial	Abscess bacterial	AdverseEvent
AE:Abscess drainage	Abscess drainage	AdverseEvent
AE:Abscess fungal	Abscess fungal	AdverseEvent
AE:Abscess intestinal	Abscess intestinal	AdverseEvent
AE:Abscess jaw	Abscess jaw	AdverseEvent
AE:Abscess limb	Abscess limb	AdverseEvent
AE:Abscess neck	Abscess neck	AdverseEvent
AE:Abscess oral	Abscess oral	AdverseEvent
AE:Abscess rupture	Abscess rupture	AdverseEvent
AE:Abscess sterile	Abscess sterile	AdverseEvent
AE:Absence of immediate treatment response	Absence of immediate treatment response	AdverseEvent
AE:Abulia	Abulia	AdverseEvent
AE:Acanthamoeba infection	Acanthamoeba infection	AdverseEvent
AE:Acanthoma	Acanthoma	AdverseEvent
AE:Acanthosis	Acanthosis	AdverseEvent
AE:Acanthosis nigricans	Acanthosis nigricans	AdverseEvent
AE:Acarodermatitis	Acarodermatitis	AdverseEvent
AE:Accelerated hypertension	Accelerated hypertension	AdverseEvent
AE:Accessory spleen	Accessory spleen	AdverseEvent
AE:Accident	Accident	AdverseEvent
AE:Accident at home	Accident at home	AdverseEvent
AE:Accident at work	Accident at work	AdverseEvent
AE:Accidental death	Accidental death	AdverseEvent
AE:Accidental exposure to product	Accidental exposure to product	AdverseEvent
AE:Accidental exposure to product by child	Accidental exposure to product by child	AdverseEvent
AE:Accidental exposure to product packaging	Accidental exposure to product packaging	AdverseEvent
AE:Accidental overdose	Accidental overdose	AdverseEvent
AE:Accidental poisoning	Accidental poisoning	AdverseEvent
AE:Accidental underdose	Accidental underdose	AdverseEvent
AE:Accommodation disorder	Accommodation disorder	AdverseEvent
AE:Acetabulum fracture	Acetabulum fracture	AdverseEvent
AE:Acetonaemia	Acetonaemia	AdverseEvent
AE:Achromobacter infection	Achromobacter infection	AdverseEvent
AE:Acid base balance abnormal	Acid base balance abnormal	AdverseEvent
AE:Acidosis	Acidosis	AdverseEvent
AE:Acidosis hyperchloraemic	Acidosis hyperchloraemic	AdverseEvent
AE:Acinetobacter bacteraemia	Acinetobacter bacteraemia	AdverseEvent
AE:Acinetobacter infection	Acinetobacter infection	AdverseEvent
AE:Acne	Acne	AdverseEvent
AE:Acne conglobata	Acne conglobata	AdverseEvent
AE:Acne cystic	Acne cystic	AdverseEvent
AE:Acne fulminans	Acne fulminans	AdverseEvent
AE:Acne pustular	Acne pustular	AdverseEvent
AE:Acoustic neuroma	Acoustic neuroma	AdverseEvent
AE:Acoustic stimulation tests abnormal	Acoustic stimulation tests abnormal	AdverseEvent
AE:Acquired ATTR amyloidosis	Acquired ATTR amyloidosis	AdverseEvent
AE:Acquired Von Willebrand's disease	Acquired Von Willebrand's disease	AdverseEvent
AE:Acquired aminoaciduria	Acquired aminoaciduria	AdverseEvent
AE:Acquired apparent mineralocorticoid excess	Acquired apparent mineralocorticoid excess	AdverseEvent
AE:Acquired cardiac septal defect	Acquired cardiac septal defect	AdverseEvent
AE:Acquired claw toe	Acquired claw toe	AdverseEvent
AE:Acquired diaphragmatic eventration	Acquired diaphragmatic eventration	AdverseEvent
AE:Acquired factor V deficiency	Acquired factor V deficiency	AdverseEvent
AE:Acquired gene mutation	Acquired gene mutation	AdverseEvent
AE:Acquired haemophilia	Acquired haemophilia	AdverseEvent
AE:Acquired hydrocele	Acquired hydrocele	AdverseEvent
AE:Acquired immunodeficiency syndrome	Acquired immunodeficiency syndrome	AdverseEvent
AE:Acquired macroglossia	Acquired macroglossia	AdverseEvent
AE:Acquired oesophageal web	Acquired oesophageal web	AdverseEvent
AE:Acquired phimosis	Acquired phimosis	AdverseEvent
AE:Acquired pigmented retinopathy	Acquired pigmented retinopathy	AdverseEvent
AE:Acquired porphyria	Acquired porphyria	AdverseEvent
AE:Acquired tracheo-oesophageal fistula	Acquired tracheo-oesophageal fistula	AdverseEvent
AE:Acral peeling skin syndrome	Acral peeling skin syndrome	AdverseEvent
AE:Acrochordon	Acrochordon	AdverseEvent
AE:Acrodermatitis enteropathica	Acrodermatitis enteropathica	AdverseEvent
AE:Acromegaly	Acromegaly	AdverseEvent
AE:Actinic cheilitis	Actinic cheilitis	AdverseEvent
AE:Actinic keratosis	Actinic keratosis	AdverseEvent
AE:Actinomyces test positive	Actinomyces test positive	AdverseEvent
AE:Actinomycosis	Actinomycosis	AdverseEvent
AE:Actinomycotic sepsis	Actinomycotic sepsis	AdverseEvent
AE:Action tremor	Action tremor	AdverseEvent
AE:Activated partial thromboplastin time abnormal	Activated partial thromboplastin time abnormal	AdverseEvent
AE:Activated partial thromboplastin time prolonged	Activated partial thromboplastin time prolonged	AdverseEvent
AE:Activated partial thromboplastin time shortened	Activated partial thromboplastin time shortened	AdverseEvent
AE:Activation syndrome	Activation syndrome	AdverseEvent
AE:Activities of daily living decreased	Activities of daily living decreased	AdverseEvent
AE:Activities of daily living impaired	Activities of daily living impaired	AdverseEvent
AE:Acute HIV infection	Acute HIV infection	AdverseEvent
AE:Acute abdomen	Acute abdomen	AdverseEvent
AE:Acute biphenotypic leukaemia	Acute biphenotypic leukaemia	AdverseEvent
AE:Acute chest syndrome	Acute chest syndrome	AdverseEvent
AE:Acute cholecystitis necrotic	Acute cholecystitis necrotic	AdverseEvent
AE:Acute coronary syndrome	Acute coronary syndrome	AdverseEvent
AE:Acute cutaneous lupus erythematosus	Acute cutaneous lupus erythematosus	AdverseEvent
AE:Acute disseminated encephalomyelitis	Acute disseminated encephalomyelitis	AdverseEvent
AE:Acute erythroid leukaemia	Acute erythroid leukaemia	AdverseEvent
AE:Acute febrile neutrophilic dermatosis	Acute febrile neutrophilic dermatosis	AdverseEvent
AE:Acute generalised exanthematous pustulosis	Acute generalised exanthematous pustulosis	AdverseEvent
AE:Acute graft versus host disease	Acute graft versus host disease	AdverseEvent
AE:Acute graft versus host disease in intestine	Acute graft versus host disease in intestine	AdverseEvent
AE:Acute graft versus host disease in liver	Acute graft versus host disease in liver	AdverseEvent
AE:Acute graft versus host disease in skin	Acute graft versus host disease in skin	AdverseEvent
AE:Acute haemorrhagic ulcerative colitis	Acute haemorrhagic ulcerative colitis	AdverseEvent
AE:Acute hepatic failure	Acute hepatic failure	AdverseEvent
AE:Acute hepatitis B	Acute hepatitis B	AdverseEvent
AE:Acute hepatitis C	Acute hepatitis C	AdverseEvent
AE:Acute interstitial pneumonitis	Acute interstitial pneumonitis	AdverseEvent
AE:Acute kidney injury	Acute kidney injury	AdverseEvent
AE:Acute left ventricular failure	Acute left ventricular failure	AdverseEvent
AE:Acute leukaemia	Acute leukaemia	AdverseEvent
AE:Acute lung injury	Acute lung injury	AdverseEvent
