drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
ASCIMINIB	DRUG:ASCIMINIB	CHEMBL4208229	L01EA06	L	Antineoplastic and immunomodulating agents
PEXIDARTINIB	DRUG:PEXIDARTINIB	CHEMBL3813873	L01EX15	L	Antineoplastic and immunomodulating agents
MIDOSTAURIN	DRUG:MIDOSTAURIN	CHEMBL608533	L01EX10	L	Antineoplastic and immunomodulating agents
ERDAFITINIB	DRUG:ERDAFITINIB	CHEMBL3545376	L01EN01	L	Antineoplastic and immunomodulating agents
ALPELISIB	DRUG:ALPELISIB	CHEMBL2396661	L01EM03	L	Antineoplastic and immunomodulating agents
TIRBANIBULIN	DRUG:TIRBANIBULIN	CHEMBL571546	D06BX03	D	Dermatologicals
GILTERITINIB	DRUG:GILTERITINIB	CHEMBL3301622	L01EX13	L	Antineoplastic and immunomodulating agents
BRODALUMAB	DRUG:BRODALUMAB	CHEMBL1742996	L04AC12	L	Antineoplastic and immunomodulating agents
IXEKIZUMAB	DRUG:IXEKIZUMAB	CHEMBL1743034	L04AC13	L	Antineoplastic and immunomodulating agents
RAMUCIRUMAB	DRUG:RAMUCIRUMAB	CHEMBL1743062	L01FG02	L	Antineoplastic and immunomodulating agents
TRALOKINUMAB	DRUG:TRALOKINUMAB	CHEMBL1743081	D11AH07	D	Dermatologicals
EPCORITAMAB	DRUG:EPCORITAMAB	CHEMBL4650393	L01FX27	L	Antineoplastic and immunomodulating agents
TECLISTAMAB	DRUG:TECLISTAMAB	CHEMBL4594505	L01FX24	L	Antineoplastic and immunomodulating agents
BROMHEXINE	DRUG:BROMHEXINE	CHEMBL253376	R05CB02	R	Respiratory system
BELANTAMAB MAFODOTIN	DRUG:BELANTAMAB MAFODOTIN	CHEMBL4298209	L01FX15	L	Antineoplastic and immunomodulating agents
FEZOLINETANT	DRUG:FEZOLINETANT	CHEMBL3608680	G02CX06	G	Genito-urinary system and sex hormones
BEZLOTOXUMAB	DRUG:BEZLOTOXUMAB	CHEMBL2108670	J06BC03	J	Antiinfectives for systemic use
OFATUMUMAB	DRUG:OFATUMUMAB	CHEMBL1201836	L04AG12	L	Antineoplastic and immunomodulating agents
ABATACEPT	DRUG:ABATACEPT	CHEMBL1201823	L04AA24	L	Antineoplastic and immunomodulating agents
TRASTUZUMAB	DRUG:TRASTUZUMAB	CHEMBL1201585	L01FD01	L	Antineoplastic and immunomodulating agents
POLATUZUMAB VEDOTIN	DRUG:POLATUZUMAB VEDOTIN	CHEMBL3301582	L01FX14	L	Antineoplastic and immunomodulating agents
ROMOSOZUMAB	DRUG:ROMOSOZUMAB	CHEMBL2107874	M05BX06	M	Musculo-skeletal system
RANIBIZUMAB	DRUG:RANIBIZUMAB	CHEMBL1201825	S01LA04	S	Sensory organs
SARILUMAB	DRUG:SARILUMAB	CHEMBL2108730	L04AC14	L	Antineoplastic and immunomodulating agents
MINERAL OIL	DRUG:MINERAL OIL	CHEMBL2109152	A06AA51	A	Alimentary tract and metabolism
GRISEOFULVIN	DRUG:GRISEOFULVIN	CHEMBL562	D01AA08	D	Dermatologicals
DIMETHYL SULFOXIDE	DRUG:DIMETHYL SULFOXIDE	CHEMBL504	G04BX13	G	Genito-urinary system and sex hormones
QUININE	DRUG:QUININE	CHEMBL170	M09AA72	M	Musculo-skeletal system
ACYCLOVIR	DRUG:ACYCLOVIR	CHEMBL184	J05AB01	J	Antiinfectives for systemic use
FLUDROCORTISONE ACETATE	DRUG:FLUDROCORTISONE ACETATE	CHEMBL1201010	H02AA02	H	Systemic hormonal preparations
ORNIDAZOLE	DRUG:ORNIDAZOLE	CHEMBL1449676	G01AF06	G	Genito-urinary system and sex hormones
NITROFURAZONE	DRUG:NITROFURAZONE	CHEMBL869	B05CA03	B	Blood and blood forming organs
NITROFURAZONE	DRUG:NITROFURAZONE	CHEMBL869	P01CC02	P	Antiparasitic products
NITROFURAZONE	DRUG:NITROFURAZONE	CHEMBL869	S02AA02	S	Sensory organs
SULFUR HEXAFLUORIDE	DRUG:SULFUR HEXAFLUORIDE	CHEMBL1796998	V08DA05	V	Various
GLUTATHIONE	DRUG:GLUTATHIONE	CHEMBL1543	V03AB32	V	Various
LEVOMILNACIPRAN	DRUG:LEVOMILNACIPRAN	CHEMBL99946	N06AX28	N	Nervous system
TAFENOQUINE	DRUG:TAFENOQUINE	CHEMBL298470	P01BA07	P	Antiparasitic products
DIPYRIDAMOLE	DRUG:DIPYRIDAMOLE	CHEMBL932	B01AC07	B	Blood and blood forming organs
IMIQUIMOD	DRUG:IMIQUIMOD	CHEMBL1282	D06BB10	D	Dermatologicals
ETHOSUXIMIDE	DRUG:ETHOSUXIMIDE	CHEMBL696	N03AD51	N	Nervous system
SIMEPREVIR	DRUG:SIMEPREVIR	CHEMBL501849	J05AP05	J	Antiinfectives for systemic use
VERAPAMIL	DRUG:VERAPAMIL	CHEMBL6966	C08DA01	C	Cardiovascular system
IODINE	DRUG:IODINE	CHEMBL1201225	D08AG03	D	Dermatologicals
TIPRANAVIR	DRUG:TIPRANAVIR	CHEMBL222559	J05AE09	J	Antiinfectives for systemic use
ROFLUMILAST	DRUG:ROFLUMILAST	CHEMBL193240	R03DX07	R	Respiratory system
BENFOTIAMINE	DRUG:BENFOTIAMINE	CHEMBL4303665	A11DA03	A	Alimentary tract and metabolism
NYSTATIN	DRUG:NYSTATIN	CHEMBL5465559	D01AA01	D	Dermatologicals
TRIMETAZIDINE	DRUG:TRIMETAZIDINE	CHEMBL203266	C01EB15	C	Cardiovascular system
ALPROSTADIL	DRUG:ALPROSTADIL	CHEMBL495	G04BE01	G	Genito-urinary system and sex hormones
CHLORZOXAZONE	DRUG:CHLORZOXAZONE	CHEMBL1371	M03BB53	M	Musculo-skeletal system
BILASTINE	DRUG:BILASTINE	CHEMBL1742423	R06AX29	R	Respiratory system
BILASTINE	DRUG:BILASTINE	CHEMBL1742423	S01GX13	S	Sensory organs
ENTECAVIR	DRUG:ENTECAVIR	CHEMBL5314362	J05AF10	J	Antiinfectives for systemic use
FENOFIBRATE	DRUG:FENOFIBRATE	CHEMBL672	C10AB05	C	Cardiovascular system
TASIMELTEON	DRUG:TASIMELTEON	CHEMBL2103822	N05CH03	N	Nervous system
IOHEXOL	DRUG:IOHEXOL	CHEMBL1200455	V08AB02	V	Various
NALMEFENE	DRUG:NALMEFENE	CHEMBL982	N07BB05	N	Nervous system
MITOMYCIN	DRUG:MITOMYCIN	CHEMBL105	L01DC03	L	Antineoplastic and immunomodulating agents
TUBERCULIN	DRUG:TUBERCULIN	CHEMBL2108161	V04CF01	V	Various
DIDANOSINE	DRUG:DIDANOSINE	CHEMBL1460	J05AF02	J	Antiinfectives for systemic use
GLIQUIDONE	DRUG:GLIQUIDONE	CHEMBL383634	A10BB08	A	Alimentary tract and metabolism
REBOXETINE	DRUG:REBOXETINE	CHEMBL14370	N06AX18	N	Nervous system
IOPROMIDE	DRUG:IOPROMIDE	CHEMBL1725	V08AB05	V	Various
ACARBOSE	DRUG:ACARBOSE	CHEMBL404271	A10BF01	A	Alimentary tract and metabolism
AZTREONAM	DRUG:AZTREONAM	CHEMBL158	J01DF01	J	Antiinfectives for systemic use
ATENOLOL	DRUG:ATENOLOL	CHEMBL24	C07AB03	C	Cardiovascular system
ACETAMINOPHEN	DRUG:ACETAMINOPHEN	CHEMBL112	N02BE51	N	Nervous system
CARBIMAZOLE	DRUG:CARBIMAZOLE	CHEMBL508102	H03BB01	H	Systemic hormonal preparations
BUDESONIDE	DRUG:BUDESONIDE	CHEMBL1370	A07EA06	A	Alimentary tract and metabolism
TRIMEBUTINE	DRUG:TRIMEBUTINE	CHEMBL190044	A03AA05	A	Alimentary tract and metabolism
SIMVASTATIN	DRUG:SIMVASTATIN	CHEMBL1064	C10AA01	C	Cardiovascular system
COBICISTAT	DRUG:COBICISTAT	CHEMBL2095208	V03AX03	V	Various
TERBINAFINE	DRUG:TERBINAFINE	CHEMBL822	D01AE15	D	Dermatologicals
FLUOCINOLONE ACETONIDE	DRUG:FLUOCINOLONE ACETONIDE	CHEMBL989	S01BA15	S	Sensory organs
ARGATROBAN	DRUG:ARGATROBAN	CHEMBL1166	B01AE03	B	Blood and blood forming organs
VILAZODONE	DRUG:VILAZODONE	CHEMBL439849	N06AX24	N	Nervous system
FLUOROURACIL	DRUG:FLUOROURACIL	CHEMBL185	L01BC02	L	Antineoplastic and immunomodulating agents
FESOTERODINE	DRUG:FESOTERODINE	CHEMBL1201764	G04BD11	G	Genito-urinary system and sex hormones
LORMETAZEPAM	DRUG:LORMETAZEPAM	CHEMBL22097	N05CD06	N	Nervous system
LOXOPROFEN	DRUG:LOXOPROFEN	CHEMBL19299	M01AE19	M	Musculo-skeletal system
LOXOPROFEN	DRUG:LOXOPROFEN	CHEMBL19299	M02AA31	M	Musculo-skeletal system
SALSALATE	DRUG:SALSALATE	CHEMBL154111	N02BA06	N	Nervous system
VANCOMYCIN	DRUG:VANCOMYCIN	CHEMBL262777	S01AA28	S	Sensory organs
RALTITREXED	DRUG:RALTITREXED	CHEMBL225071	L01BA03	L	Antineoplastic and immunomodulating agents
