Drug	Adverse_Event	ROR_Female	ROR_Male	Log_ROR_Ratio	Reports_Female	Reports_Male	Min_Reports	Fold_Difference
PERTUZUMAB	Carbohydrate antigen 15-3 increased	7.607168420304866	12219.66870647816	-7.38171110565101	11	10	10	1606.34
ETONOGESTREL	Foetal exposure during pregnancy	0.2553047318332067	170.6221982296435	-6.504749165675264	31	40	31	668.31
HYDROXYPROGESTERONE CAPROATE	Abortion spontaneous	2.6102630016428665	1693.1654970760235	-6.474904147921193	104	12	12	648.66
CARBIDOPA\LEVODOPA	Embedded device	5.6409891808711885	3495.578248435031	-6.429194654367729	171	548	171	619.67
CARBIDOPA\LEVODOPA	Device expulsion	0.2312120591182074	140.4106331731722	-6.408991208303988	48	79	48	607.28
ETONOGESTREL	Premature baby	0.4572751792692617	262.57952042628773	-6.353023897595474	19	23	19	574.23
MINOXIDIL	Adverse drug reaction	0.1896089423854112	106.34393299735261	-6.32947001830277	22	8466	22	560.86
ETONOGESTREL	Injury associated with device	0.5496397497198581	290.4763402401609	-6.2700143438902485	42	15	15	528.48
ETHINYL ESTRADIOL\ETONOGESTREL	Medical device discomfort	25.723673544954714	9469.510068846816	-5.908420732255202	113	19	19	368.12
TRASTUZUMAB	Carbohydrate antigen 15-3 increased	6.69280065994207	2350.3857711361975	-5.861302331285491	21	10	10	351.18
HYDROXYPROGESTERONE CAPROATE	Stillbirth	20.347408798750962	5125.496459439759	-5.529029097425069	70	51	51	251.9
PERTUZUMAB	Incorrect dose administered	0.03999463806326	9.796832405072973	-5.501068991728246	10	68	10	244.95
HISTRELIN ACETATE	Device expulsion	6.731097106223123	1592.7252475247524	-5.466463672519766	21	11	11	236.62
PERTUZUMAB	Oligohydramnios	4.211871469870022	914.845392658126	-5.380848002645392	19	11	11	217.21
ETONOGESTREL	Accidental exposure to product	0.11992518035153708	24.45425444907489	-5.317691434606455	39	10	10	203.91
ETHINYL ESTRADIOL\LEVONORGESTREL	Foetal exposure during pregnancy	0.5121867913749176	103.38376868288577	-5.30751386733639	12	23	12	201.85
ETHINYL ESTRADIOL\LEVONORGESTREL	Maternal exposure during pregnancy	2.0909520009464897	413.69826502029383	-5.28751741453534	163	10	10	197.85
DROSPIRENONE\ETHINYL ESTRADIOL	Foetal exposure during pregnancy	0.3759715301309256	69.83727969362933	-5.224409816419222	10	13	10	185.75
TAMOXIFEN	Carbohydrate antigen 15-3 increased	64.52237888211612	11868.991596638656	-5.214672407009161	55	10	10	183.95
FOLATE SODIUM	Abortion spontaneous	9.067175972791691	1567.6624027072758	-5.152680016807321	60	12	12	172.89
LABETALOL\LABETALOL HYDROCHLORIDE	Abortion spontaneous	4.253402563105407	730.829797979798	-5.146461332430405	77	17	17	171.82
BIOTIN	Sensation of foreign body	0.9186083955826166	156.92500939739585	-5.140663411679158	11	88	11	170.83
DENOSUMAB	Peri-implantitis	16.556560460150084	2810.7672798216277	-5.13443035267045	13	14	13	169.77
DESOXIMETASONE	Onychoclasis	1.7261864636764055	258.78663667487194	-5.010089306486866	11	79	11	149.92
FEZOLINETANT	Intentional product use issue	1.7240547915131177	247.83795633615742	-4.968096177378	10	10	10	143.75
RIZATRIPTAN BENZOATE	Nightmare	1.5102938551002345	209.74432335339873	-4.933585043191527	15	264	15	138.88
DROSPIRENONE\ETHINYL ESTRADIOL	Atrial septal defect	3.7798368543730723	502.965830010165	-4.890841386925569	12	10	10	133.07
TADALAFIL	Blood cholesterol increased	0.12185530140381588	16.16760496821392	-4.887930539096812	14	788	14	132.68
ESTRIOL	Alopecia	9.07094970193036	1172.5743239897397	-4.861879920955309	187	123	123	129.27
RIZATRIPTAN BENZOATE	Sedation	1.959681445594883	243.5393078316876	-4.822496425685715	14	263	14	124.27
DIHYDROERGOTAMINE MESYLATE	Hyperhidrosis	3.7154164696984022	453.2891800581686	-4.804039511603023	13	201	13	122.0
BIOTIN	Plantar fasciitis	2.5268479325268096	293.33302771478685	-4.754335927403694	12	87	12	116.09
ESTRIOL	Migraine	19.541130140293923	2250.383419032445	-4.7463344069253806	182	129	129	115.16
BACLOFEN	Implant site scar	8.76371658137199	939.538851050173	-4.674769088646882	26	32	26	107.21
LEVONORGESTREL	Low birth weight baby	0.4179293525683004	43.968784893998205	-4.655922821659587	18	14	14	105.21
RISPERIDONE	Abnormal weight gain	13.632821677351856	1432.587028338256	-4.654756955612396	76	9361	76	105.08
FEZOLINETANT	Off label use	1.1017635646822521	113.47736492550709	-4.634691252457648	71	16	16	103.0
ETHINYL ESTRADIOL\ETONOGESTREL	Medical device site discomfort	204.3893522079595	19603.540618955514	-4.5634387086721215	159	14	14	95.91
FLIBANSERIN	Product use issue	1.270112415460528	121.7423478977941	-4.562801496381521	23	28	23	95.85
DEXAMETHASONE	Complication of device insertion	0.35244921894162584	30.708884995864565	-4.46740075311469	71	70	70	87.13
ABATACEPT	Apparent death	1.2148799351979975	104.78885875978698	-4.457302203549129	22	283	22	86.25
LOPINAVIR	Abortion spontaneous	29.193076678653316	2472.8555124223603	-4.439197258666888	25	11	11	84.71
ETANERCEPT	Breast feeding	0.5473647095339561	46.322208628079075	-4.43826146778256	13	11	11	84.63
DIMETHYL FUMARATE	Needle fatigue	3.6536918192258327	306.22274713988145	-4.428574655229938	10	70	10	83.81
HYDROXYPROGESTERONE CAPROATE	Premature baby	82.90454084927697	6748.187503970339	-4.399339394216273	722	808	722	81.4
BIOTIN	Obstructive airways disorder	0.7152991582972787	57.91840314942986	-4.3940895983448955	10	94	10	80.97
NITROFURANTOIN\NITROFURANTOIN MONOHYDRATE	Maternal exposure during pregnancy	0.8302768649842636	65.86358568275422	-4.373581781024235	29	12	12	79.33
DEXLANSOPRAZOLE	Device dislocation	0.18767766909119218	14.397833452283164	-4.340107054304883	13	74	13	76.72
BUDESONIDE	Mycotic allergy	9.65640701397423	735.1084501670272	-4.332396405263212	14	249	14	76.13
NITROFURANTOIN	Systemic lupus erythematosus	0.9924829309516716	75.5254825700526	-4.332015581395166	39	70	39	76.1
