Cluster	N_Drugs	N_Signals	Female_Biased	Male_Biased	Female_Ratio	Top_AE_1	Top_AE_2	Top_AE_3
0	2087	79	31	48	0.392	Drug ineffective	Fatigue	Nausea
1	1773	0	0	0	0.5			
2	2131	7	5	2	0.714	Drug ineffective	Death	Overdose
3	899	39973	24283	15690	0.607	Device dislocation	Contraindicated product administered	Type 2 diabetes mellitus
4	2028	956	324	632	0.339	Off label use	Drug ineffective	Nausea
5	1679	0	0	0	0.5			
6	1176	0	0	0	0.5			
7	1649	0	0	0	0.5			
8	2168	2	2	0	1.0	Acute kidney injury	Chronic kidney disease	
9	1711	7971	4010	3961	0.503	Condition aggravated	Off label use	Drug ineffective
10	1330	0	0	0	0.5			
11	357	0	0	0	0.5			
12	1343	6	2	4	0.333	Drug ineffective	Anosmia	Toxicity to various agents
13	1117	0	0	0	0.5			
14	993	3	2	1	0.667	Completed suicide	Drug abuse	Corneal opacity
15	549	0	0	0	0.5			
16	1909	29	10	19	0.345	Urticaria	Completed suicide	Chronic kidney disease
17	1346	0	0	0	0.5			
18	1975	0	0	0	0.5			
19	981	0	0	0	0.5			
