Drug	Total_Signals	Female_Biased	Male_Biased	Max_Fold_Difference
RANITIDINE HYDROCHLORIDE	381	378	3	23.6
RITUXIMAB	344	281	63	73.5
PREDNISONE	302	228	74	93.5
RISPERIDONE	298	273	25	105.1
TOCILIZUMAB	294	157	137	51.7
SULFASALAZINE	276	121	155	56.9
LEFLUNOMIDE	266	103	163	60.9
RAMIPRIL	258	217	41	44.7
METHOTREXATE	255	117	138	91.5
INFLIXIMAB	254	163	91	82.7
RANITIDINE	238	229	9	22.4
ACETAMINOPHEN	227	152	75	44.8
MYCOPHENOLATE MOFETIL	224	198	26	71.4
FOLIC ACID	217	106	111	208.8
GOLIMUMAB	217	143	74	134.6
OXYCODONE HYDROCHLORIDE	214	207	7	47.1
ADALIMUMAB	213	113	100	173.4
SULFAMETHOXAZOLE\TRIMETHOPRIM	212	179	33	35.6
HYDROXYCHLOROQUINE	211	125	86	43.8
ALENDRONATE SODIUM	208	117	91	63.9
ABATACEPT	203	88	115	86.3
ETANERCEPT	203	97	106	84.6
ZOPICLONE	198	154	44	50.9
DICLOFENAC	196	126	70	40.2
PANTOPRAZOLE	193	147	46	58.3
HYDROXYCHLOROQUINE SULFATE	189	71	118	55.0
DESOXIMETASONE	188	68	120	149.9
CODEINE	186	152	34	24.1
PREDNISOLONE	185	151	34	24.7
CALCIUM CARBONATE	183	132	51	39.1
USTEKINUMAB	179	156	23	50.0
CETIRIZINE HYDROCHLORIDE	178	128	50	190.3
DICLOFENAC SODIUM	178	129	49	75.0
QUETIAPINE	175	131	44	81.2
LANSOPRAZOLE	174	122	52	27.7
CERTOLIZUMAB PEGOL	172	100	72	58.1
TOFACITINIB CITRATE	171	83	88	54.8
HYDROCORTISONE	170	127	43	27.4
ASPIRIN	169	121	48	51.6
SECUKINUMAB	165	127	38	71.2
AZATHIOPRINE	164	118	46	20.4
TACROLIMUS	164	131	33	14.5
SILDENAFIL CITRATE	163	128	35	37.4
CANDESARTAN	162	113	49	42.7
QUETIAPINE FUMARATE	161	132	29	47.8
CHLORHEXIDINE GLUCONATE	160	87	73	63.4
IBUPROFEN	159	96	63	32.9
OXYCODONE	158	140	18	48.3
CYCLOPHOSPHAMIDE	157	96	61	91.0
METHYLPREDNISOLONE	157	133	24	13.3
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	155	149	6	51.1
CHOLECALCIFEROL	154	60	94	37.4
ERGOCALCIFEROL	154	106	48	27.0
FUROSEMIDE	154	103	51	38.2
NAPROXEN	151	99	52	58.4
METHYLPREDNISOLONE SODIUM SUCCINATE	150	144	6	43.9
PREGABALIN	150	86	64	20.5
ACETAMINOPHEN\CODEINE PHOSPHATE	149	126	23	47.1
HYDROMORPHONE HYDROCHLORIDE	149	128	21	17.5
LEUPROLIDE ACETATE	149	104	45	15.8
LEVOTHYROXINE SODIUM	149	40	109	25.9
PANTOPRAZOLE SODIUM	149	129	20	28.8
ASCORBIC ACID	146	108	38	34.4
CELECOXIB	145	93	52	26.6
LORAZEPAM	141	103	38	13.1
DEXAMETHASONE	140	110	30	87.1
TADALAFIL	137	49	88	132.7
BISOPROLOL	134	88	46	20.6
NAPROXEN SODIUM	131	111	20	56.8
MORPHINE SULFATE	130	110	20	39.1
CYCLOSPORINE	129	75	54	16.0
TRAMADOL HYDROCHLORIDE	128	111	17	24.3
LAMOTRIGINE	127	57	70	17.6
MONTELUKAST SODIUM	127	37	90	21.5
ALENDRONIC ACID	126	83	43	27.9
SULFAMETHOXAZOLE	124	90	34	87.1
ALBUTEROL	123	59	64	62.1
BUPRENORPHINE	123	78	45	47.7
TRIAMCINOLONE ACETONIDE	123	107	16	24.2
METFORMIN HYDROCHLORIDE	121	69	52	21.7
ETANERCEPT-SZZS	120	71	49	21.6
ALLOPURINOL	118	90	28	10.5
MEPOLIZUMAB	118	63	55	15.9
MESALAMINE	117	78	39	19.0
TOPIRAMATE	115	45	70	12.8
DOCETAXEL	114	15	99	74.3
CHLORHEXIDINE	113	71	42	89.7
MINOCYCLINE HYDROCHLORIDE	113	80	33	25.4
MORPHINE	113	97	16	12.4
AMLODIPINE BESYLATE	112	64	48	55.8
OLANZAPINE	112	81	31	31.0
FENTANYL	111	83	28	12.6
APREMILAST	110	97	13	65.5
CORTISONE	110	63	47	20.4
HYDROMORPHONE	110	85	25	15.1
LISINOPRIL	108	90	18	20.1
HYDROCORTISONE ACETATE	107	55	52	61.9
CLOPIDOGREL BISULFATE	106	85	21	12.0
GLUCOSAMINE	106	97	9	44.6
CLONAZEPAM	105	51	54	15.1
